frame_idx,cum_x,cum_y,cum_yaw,dx,dy,dyaw,good_matches,inliers,inlier_ratio,mean_score
1896,435.165727,193.0672,-130.447712,-0.05340576171875,-0.1138153076171875,0.0063860075867068315,236,236,1.0,1.0
1897,435.096588,193.16885,-130.440781,-0.032501220703125,-0.118560791015625,0.006931864224725498,235,235,1.0,1.0
1898,435.015378,193.259638,-130.41841,-0.01641845703125,-0.120697021484375,0.022371115402946087,236,236,1.0,1.0
1899,434.914951,193.413628,-130.410079,-0.0521240234375,-0.176300048828125,0.00833023901931617,233,233,1.0,1.0
1900,434.820053,193.538629,-130.40373,-0.033660888671875,-0.153289794921875,0.006349229672029858,236,236,1.0,1.0
1901,434.561379,193.63373,-130.911768,0.095245361328125,-0.2586212158203125,-0.5080374612804948,216,216,1.0,1.0
1902,434.986713,193.638959,-134.779516,-0.282501220703125,0.3180084228515625,-3.8677483639842527,208,208,1.0,1.0
1903,435.459829,193.400774,-138.930574,-0.1641845703125,0.50360107421875,-4.151058024308975,205,205,1.0,1.0
1904,435.715275,193.102432,-142.108933,0.00341796875,0.3927459716796875,-3.1783590368460977,202,201,0.995049504950495,1.0
1905,435.977639,192.826272,-144.426007,-0.037445068359375,0.3790740966796875,-2.317073914875891,208,207,0.9951923076923077,1.0
1906,436.22752,192.543162,-145.991956,-0.038543701171875,0.375640869140625,-1.5659488620588824,206,205,0.9951456310679612,1.0
1907,436.342843,192.230648,-147.190927,0.079193115234375,0.3235626220703125,-1.1989709341929635,212,211,0.9952830188679245,1.0
1908,436.428243,191.89621,-148.149861,0.10943603515625,0.327362060546875,-0.9589345653181963,211,211,1.0,1.0
1909,436.414111,191.543806,-148.875594,0.197967529296875,0.2918853759765625,-0.7257330649450033,210,210,1.0,1.0
1910,436.38339,191.139191,-149.494905,0.235443115234375,0.3304901123046875,-0.6193107313456551,216,216,1.0,1.0
1911,436.449946,190.74709,-149.99824,0.141693115234375,0.371612548828125,-0.5033351983179525,214,212,0.9906542056074766,1.0
1912,436.518641,190.346086,-150.386617,0.141021728515625,0.381622314453125,-0.3883765266387975,216,214,0.9907407407407407,1.0
1913,436.660818,189.846071,-150.691223,0.12347412109375,0.5049591064453125,-0.3046062441100846,212,210,0.9905660377358491,1.0
1914,436.787407,189.278064,-150.948868,0.16766357421875,0.5572662353515625,-0.25764533287560587,218,218,1.0,1.0
1915,436.989065,188.681868,-151.183109,0.11322021484375,0.619110107421875,-0.23424043342877574,220,220,1.0,1.0
1916,437.156046,187.990488,-151.392926,0.18695068359375,0.686248779296875,-0.20981755191221038,221,221,1.0,1.0
1917,437.416786,187.305568,-151.608039,0.099029541015625,0.7261505126953125,-0.215112839429566,217,217,1.0,1.0
1918,437.817822,186.486604,-151.741725,0.03662109375,0.9111480712890625,-0.1336860076738239,213,213,1.0,1.0
1919,438.267249,185.437047,-151.887687,0.101043701171875,1.1372528076171875,-0.1459616904882956,221,221,1.0,1.0
1920,438.769078,184.23416,-151.993863,0.124176025390625,1.2974395751953125,-0.10617639115646996,215,215,1.0,1.0
1921,439.472217,182.931327,-152.131463,-0.009033203125,1.480438232421875,-0.13760009220006286,217,216,0.9953917050691244,1.0
1922,440.21905,181.495688,-152.247842,0.0108642578125,1.6182403564453125,-0.11637878473247124,217,217,1.0,1.0
1923,441.070568,179.825001,-152.331788,0.024383544921875,1.8750152587890625,-0.08394609012791664,219,218,0.9954337899543378,1.0
1924,441.923214,178.083944,-152.402867,0.053314208984375,1.937896728515625,-0.07107899743799902,219,218,0.9954337899543378,1.0
1925,442.949445,176.165634,-152.467787,-0.02081298828125,2.1754608154296875,-0.06491993441319112,218,217,0.9954128440366973,1.0
1926,444.017744,174.11785,-152.553588,-0.000732421875,2.3096923828125,-0.08580127155108201,218,216,0.9908256880733946,1.0
1927,445.217599,171.803638,-152.615557,0.001861572265625,2.6067657470703125,-0.0619683974228825,218,217,0.9954128440366973,1.0
1928,446.510047,169.372488,-152.675051,-0.029388427734375,2.7531890869140625,-0.059493977602481096,218,217,0.9954128440366973,1.0
1929,447.85693,166.755166,-152.78256,0.004852294921875,2.94354248046875,-0.10750943304345967,211,211,1.0,1.0
1930,449.280679,164.127245,-152.888659,-0.064178466796875,2.988128662109375,-0.10609892907482557,219,217,0.9908675799086758,1.0
1931,450.678189,161.494099,-152.954186,-0.043975830078125,2.9806976318359375,-0.06552736514613244,219,219,1.0,1.0
1932,452.075952,158.758263,-152.969755,-0.00091552734375,3.0722198486328125,-0.015568284206146407,216,216,1.0,1.0
1933,453.481797,156.059475,-152.975813,-0.025787353515625,3.0428924560546875,-0.0060577429773890365,216,214,0.9907407407407407,1.0
1934,454.925198,153.294143,-152.961989,-0.029327392578125,3.119232177734375,0.013823415088740782,216,216,1.0,1.0
1935,456.242527,150.682829,-152.948488,0.013702392578125,2.92474365234375,0.013501154347695759,215,214,0.9953488372093023,1.0
1936,457.661602,148.046644,-152.940572,-0.064910888671875,2.9931640625,0.007915886597462238,213,213,1.0,1.0
1937,458.977459,145.47208,-152.917068,-0.0006103515625,2.8913421630859375,0.023504141457651322,213,213,1.0,1.0
1938,460.311886,142.875067,-152.890366,-0.0057373046875,2.9197845458984375,0.026702423067500806,216,216,1.0,1.0
1939,461.646005,140.327782,-152.861778,-0.026763916015625,2.8753814697265625,0.02858776822123003,220,220,1.0,1.0
1940,462.994976,137.80906,-152.818828,-0.05157470703125,2.85675048828125,0.04294985650126007,221,221,1.0,1.0
1941,464.274695,135.372832,-152.807362,-0.0255126953125,2.75177001953125,0.011466122710371491,216,216,1.0,1.0
1942,465.533503,132.902381,-152.78248,0.00927734375,2.7726593017578125,0.024881760412586433,217,217,1.0,1.0
1943,466.82499,130.501804,-152.773546,-0.050537109375,2.7254638671875,0.008933789475609738,218,218,1.0,1.0
1944,468.008389,128.128129,-152.744672,0.03369140625,2.652099609375,0.028874640421982435,215,215,1.0,1.0
1945,469.218829,125.701817,-152.719208,0.03509521484375,2.7112579345703125,0.025463572823977126,215,215,1.0,1.0
1946,470.397735,123.264376,-152.684123,0.069427490234375,2.7066802978515625,0.03508546617340173,211,211,1.0,1.0
1947,471.657537,120.887526,-152.65724,-0.028594970703125,2.6899261474609375,0.026882433069551376,212,212,1.0,1.0
1948,472.823811,118.504276,-152.639662,0.058685302734375,2.6526641845703125,0.017578056136724522,212,212,1.0,1.0
1949,474.074161,116.10634,-152.6312,-0.0084228515625,2.7043304443359375,0.008461666167436193,211,211,1.0,1.0
1950,475.262417,113.76822,-152.616916,0.019622802734375,2.6226654052734375,0.014284505658148539,212,212,1.0,1.0
1951,476.435845,111.338657,-152.569737,0.07550048828125,2.6970367431640625,0.047178472214847444,208,208,1.0,1.0
1952,477.590396,109.073239,-152.547987,0.01885986328125,2.5425872802734375,0.021749920508562524,205,205,1.0,1.0
1953,478.760428,106.815993,-152.552371,0.0023193359375,2.5424652099609375,-0.0043831702667750825,209,209,1.0,1.0
1954,479.913499,104.475383,-152.513804,0.05560302734375,2.6086273193359375,0.038566685806816166,217,216,0.9953917050691244,1.0
1955,481.048662,102.206719,-152.493847,0.0400390625,2.5364990234375,0.019957290705692594,214,214,1.0,1.0
1956,482.236861,99.849877,-152.474104,0.03460693359375,2.639190673828125,0.019742288792088794,214,214,1.0,1.0
1957,483.426112,97.542245,-152.474183,0.0118408203125,2.5960235595703125,-7.89445392750543e-05,215,215,1.0,1.0
1958,484.660823,95.170484,-152.460182,0.00115966796875,2.6739044189453125,0.014001309164039966,213,213,1.0,1.0
1959,485.837652,92.836358,-152.45314,0.035736083984375,2.61376953125,0.007041832872813467,209,209,1.0,1.0
1960,487.065058,90.503293,-152.435795,-0.00927734375,2.6362152099609375,0.01734522913308486,216,216,1.0,1.0
1961,488.302108,88.141477,-152.443629,-0.00372314453125,2.666168212890625,-0.007833751909897572,214,214,1.0,1.0
1962,489.523631,85.773796,-152.428655,0.01239013671875,2.6641845703125,0.014973973461511575,214,214,1.0,1.0
1963,490.817581,83.337549,-152.425714,-0.019378662109375,2.75848388671875,0.0029404715715395545,215,214,0.9953488372093023,1.0
1964,492.17027,80.812201,-152.406741,-0.030059814453125,2.864654541015625,0.018973258902293535,212,212,1.0,1.0
1965,493.439264,78.406478,-152.39406,-0.010345458984375,2.719879150390625,0.012680811836214724,212,212,1.0,1.0
1966,494.653031,76.153901,-152.368713,-0.031768798828125,2.5585784912109375,0.025347068731096947,216,216,1.0,1.0
1967,495.815109,74.004608,-152.351273,-0.032745361328125,2.443115234375,0.017439989644458434,215,214,0.9953488372093023,1.0
1968,496.942452,71.915266,-152.316896,-0.029052734375,2.3739013671875,0.03437696778993737,209,209,1.0,1.0
1969,498.02959,69.929536,-152.301116,-0.0401611328125,2.26348876953125,0.015780019048334534,206,206,1.0,1.0
1970,499.142328,68.02664,-152.282735,-0.1007080078125,2.202056884765625,0.018380754401679873,211,211,1.0,1.0
1971,500.158763,66.139735,-152.246813,-0.022186279296875,2.1431427001953125,0.035922418202234574,216,216,1.0,1.0
1972,501.085498,64.40331,-152.236329,-0.01153564453125,1.9682159423828125,0.010484058919635702,213,213,1.0,1.0
1973,502.082075,62.713381,-152.196139,-0.094635009765625,1.9596099853515625,0.04018981739062662,216,216,1.0,1.0
1974,502.901791,61.084843,-152.16892,0.0345458984375,1.8228759765625,0.027218896949696186,212,212,1.0,1.0
1975,503.725751,59.537778,-152.155414,-0.006378173828125,1.7527923583984375,0.013506270123088101,217,217,1.0,1.0
1976,504.604078,58.036862,-152.136408,-0.075592041015625,1.7373809814453125,0.01900642166603107,216,216,1.0,1.0
1977,505.335085,56.604938,-152.133305,0.022979736328125,1.6075592041015625,0.003102174508009872,221,221,1.0,1.0
1978,506.122548,55.147251,-152.131063,-0.014801025390625,1.6567230224609375,0.002242649565251008,217,217,1.0,1.0
1979,506.948629,53.746198,-152.131278,-0.075347900390625,1.6247100830078125,-0.00021489583490616088,216,216,1.0,1.0
1980,507.651242,52.340598,-152.116421,0.035919189453125,1.571014404296875,0.014856577399876676,214,214,1.0,1.0
1981,508.388314,50.924511,-152.107147,0.010772705078125,1.5963897705078125,0.009273889972240988,215,215,1.0,1.0
1982,509.109323,49.518514,-152.09818,0.0205078125,1.5799560546875,0.008966896116995254,216,216,1.0,1.0
1983,509.878829,48.180581,-152.105105,-0.053955078125,1.5424957275390625,-0.006924654508729842,214,214,1.0,1.0
1984,510.593398,46.821312,-152.088008,0.00439453125,1.53564453125,0.017097069648020918,208,208,1.0,1.0
