ms,source,est_lat,est_lon,gt_lat,gt_lon,pos_err_m
157423,vo,43.52165203487142,-5.624610788474185,43.521688,-5.624598,4.122691270826772
157624,vo,43.52165349190456,-5.624610589562829,43.521692,-5.624598,4.392865611605963
157824,vo,43.5216548467317,-5.62461040460444,43.521695,-5.624598,4.567471900602616
158024,vo,43.52165613405753,-5.624610228861198,43.521698,-5.624599,4.7341891247423655
158224,vo,43.521657438070406,-5.624610050839874,43.521701,-5.624599,4.916500272500108
158424,vo,43.52165868845311,-5.624609880140039,43.521704,-5.624599,5.105249394476158
158625,vo,43.521659802935446,-5.624609727993057,43.521707,-5.6246,5.297061887120785
158825,vo,43.521660677199804,-5.6246096086401725,43.521709,-5.6246,5.419298119531886
159025,vo,43.52166129269492,-5.624609524613965,43.52171,-5.6246,5.460591146184837
159225,vo,43.52166161349818,-5.624609480818523,43.521711,-5.6246,5.5347583523776125
159425,vo,43.5216617341118,-5.624609464352584,43.521711,-5.6246,5.521315399704937
159626,vo,43.521661775247864,-5.624609458736768,43.521712,-5.6246,5.6266894250896256
159826,vo,43.52166160129117,-5.624609482485,43.521712,-5.624599,5.657521929380024
160026,anchor,43.52166233296858,-5.624609382597811,43.521712,-5.624599,5.5760165276121905
160226,vo,43.52166409826619,-5.624613292562043,43.521712,-5.624599,5.440113268046032
160426,vo,43.521665266358426,-5.624615879773873,43.521713,-5.6246,5.450413571762158
160627,vo,43.521665457776514,-5.6246163037465005,43.521713,-5.624601,5.419034744132999
160827,vo,43.52166592234507,-5.624617332721121,43.521714,-5.624603,5.459882516801216
161027,vo,43.52166689511809,-5.624619487319694,43.521715,-5.624605,5.465477736775932
161227,vo,43.52166832576667,-5.624622656068539,43.521716,-5.624608,5.421724846508616
161427,vo,43.52167015865369,-5.624626715736814,43.521719,-5.624613,5.532645066441885
161628,vo,43.52167257129272,-5.624632059499951,43.521722,-5.624619,5.5863673955766435
161828,vo,43.52167549059257,-5.6246385254680265,43.521726,-5.624625,5.711257136962135
162028,vo,43.52167845352292,-5.624645088073446,43.52173,-5.624632,5.817825209170216
162228,vo,43.52168135780667,-5.624651520782316,43.521734,-5.624639,5.929549435108143
162428,vo,43.52168413420195,-5.62465767023053,43.521737,-5.624645,5.9560577127725605
162629,vo,43.521686780356376,-5.624663531207796,43.521741,-5.624651,6.10231020225456
162829,vo,43.521689325165816,-5.624669167715678,43.521744,-5.624657,6.147418400722631
163029,vo,43.52169184007022,-5.624674737986764,43.521748,-5.624663,6.30493785491724
163229,vo,43.521694324797586,-5.624680241418631,43.521751,-5.624669,6.35568033581617
163429,vo,43.52169680894784,-5.62468574357225,43.521754,-5.624675,6.406830457775674
163630,vo,43.521699294324776,-5.624691248442856,43.521757,-5.624681,6.458224634240348
163830,vo,43.52170174619259,-5.624696679093981,43.521761,-5.624686,6.633098689058526
164030,vo,43.52170421528805,-5.624702147902675,43.521764,-5.624692,6.686179197277676
164230,vo,43.52170673412941,-5.624707726893762,43.521767,-5.624697,6.744997615481627
164430,vo,43.521709013389724,-5.624712775235896,43.52177,-5.624703,6.815082250824144
164631,vo,43.52171101059248,-5.624717198847703,43.521773,-5.624708,6.9205435499813595
164831,vo,43.521712762447855,-5.624721079038659,43.521775,-5.624712,6.946909156644931
165031,vo,43.52171433696946,-5.62472456645241,43.521777,-5.624715,6.998084753426556
165231,vo,43.521715805597374,-5.624727819321836,43.521779,-5.624719,7.050403850466868
165431,vo,43.52171726164627,-5.624731044329936,43.521781,-5.624723,7.104522160486425
165632,vo,43.52171870596697,-5.624734243361205,43.521783,-5.624726,7.167413263908193
165832,vo,43.52172005323155,-5.624737227422531,43.521785,-5.624729,7.239441439107302
166032,vo,43.5217211677151,-5.624739695896282,43.521786,-5.624731,7.230339726300036
166232,vo,43.52172193300348,-5.6247413909363555,43.521787,-5.624733,7.253944384909434
166432,vo,43.52172242043264,-5.624742470545019,43.521788,-5.624734,7.311189258619053
166633,vo,43.52172264870674,-5.624742976150175,43.521788,-5.624735,7.28234585843996
166833,vo,43.52172267547957,-5.6247430354494155,43.521789,-5.624735,7.3903757799243825
167000,vo,43.52172265322453,-5.624742986156631,43.521789,-5.624735,7.392490584155302
167200,vo,43.52172170962032,-5.624740896164171,43.521789,-5.624735,7.4842930930900256
167400,vo,43.52172045627099,-5.6247381201160875,43.521789,-5.624735,7.612497343627418
167600,vo,43.521720605741145,-5.6247384511780805,43.521789,-5.624735,7.596842848760947
167800,vo,43.521720866447836,-5.624739028618303,43.521789,-5.624736,7.56675181643394
168001,vo,43.52172132553144,-5.624740045444275,43.521789,-5.624738,7.513669867322936
168201,vo,43.521722079660314,-5.624741715767127,43.521789,-5.624741,7.428381104647708
168401,vo,43.52172326306274,-5.624744336889559,43.521789,-5.624744,7.296850416882445
168601,vo,43.521724898368646,-5.624747958934673,43.52179,-5.624749,7.226766875904038
168801,vo,43.521727025376414,-5.624752670052075,43.52179,-5.624756,6.995319556170759
169002,vo,43.52172968393574,-5.624758558504988,43.521791,-5.624763,6.815464986680641
169202,vo,43.52173262167931,-5.624765065324146,43.521792,-5.624772,6.6145848840490284
169402,vo,43.52173559608589,-5.624771653348307,43.521793,-5.624781,6.416090123051488
169602,vo,43.52173843174495,-5.624777934060088,43.521794,-5.624789,6.232050854507985
169802,vo,43.52174113096296,-5.624783912568075,43.521795,-5.624797,6.071538263115924
170003,vo,43.52174369253036,-5.624789586193215,43.521796,-5.624804,5.920898537126961
170203,vo,43.521746189793085,-5.624795117389704,43.521797,-5.624812,5.801317671913816
170403,vo,43.52174873651071,-5.624800758124022,43.521798,-5.624819,5.661931215630178
170603,vo,43.5217513176378,-5.624806475072002,43.521799,-5.624827,5.544566988735392
170803,vo,43.52175362725643,-5.624811590654879,43.5218,-5.624833,5.428151468440518
171004,vo,43.52175563499485,-5.624816037602157,43.5218,-5.624838,5.232170664658221
171204,vo,43.52175738835009,-5.624819921115181,43.521801,-5.624843,5.18505351953573
171404,vo,43.52175900883145,-5.624823510325374,43.521802,-5.624848,5.163085794265977
171604,vo,43.52176052992677,-5.624826879405052,43.521802,-5.624853,5.0605586287723705
171804,vo,43.521762017921944,-5.6248301751710725,43.521803,-5.624857,5.035379809416696
172005,vo,43.52176349239267,-5.624833440981763,43.521803,-5.624861,4.914413554418283
172205,vo,43.52176485195072,-5.6248364522719285,43.521804,-5.624865,4.915523956323843
172405,vo,43.52176597151045,-5.624838931988931,43.521804,-5.624868,4.82617756783695
172605,vo,43.52176678820058,-5.624840740878934,43.521804,-5.62487,4.754692555136083
172805,vo,43.521767399673664,-5.624842095232933,43.521804,-5.624871,4.681611195552401
173006,vo,43.521767715964735,-5.624842795787203,43.521804,-5.624872,4.663279512303051
173206,vo,43.52176777701133,-5.624842930999527,43.521805,-5.624872,4.748212645460458
173406,vo,43.521767735145225,-5.624842838270142,43.521805,-5.624872,4.755935982654691
173606,vo,43.521768099990275,-5.624843646366801,43.521805,-5.624872,4.688756966664106
173806,vo,43.52176872665419,-5.6248450343670235,43.521805,-5.624872,4.574061874279338
174007,vo,43.521769120725956,-5.624845907198057,43.521805,-5.624873,4.540512105661743
174207,vo,43.521769531683454,-5.624846817429342,43.521805,-5.624874,4.504059470411037
174407,vo,43.521770118865255,-5.624848117980492,43.521805,-5.624876,4.4751653740755835
174607,vo,43.521770934026996,-5.624849923485259,43.521805,-5.624879,4.446952326626831
174807,vo,43.521772204336784,-5.624852737099126,43.521805,-5.624882,4.335820921424076
175008,vo,43.52177390024225,-5.624856493366436,43.521805,-5.624887,4.236249129996297
175208,vo,43.5217761129587,-5.624861394320303,43.521805,-5.624894,4.143501176705808
175408,vo,43.521778853462806,-5.62486746427303,43.521805,-5.624902,4.018686447534277
175608,vo,43.52178180671516,-5.624874005442641,43.521806,-5.624911,4.0097079982574435
175808,vo,43.52178476354284,-5.62488055453123,43.521807,-5.624919,3.958209191747929
176009,vo,43.52178758184571,-5.624886796800723,43.521807,-5.624927,3.888002538788229
176209,vo,43.52179030053234,-5.624892818429824,43.521808,-5.624935,3.922554610713571
176409,vo,43.52179293133756,-5.624898645410086,43.521808,-5.624943,3.9423953831299348
176609,vo,43.52179563986566,-5.624904644539017,43.521809,-5.62495,3.9402666794139583
